Drug_ID,Gene_ID,Disease_ID
356,57,4813
314,21,3070
1034,52,2050
1035,654,5186
1035,654,4693
1035,654,5518
1035,654,610
1035,654,5526
219,366,1853
219,366,2477
1036,655,2853
369,549,3396
369,549,4758
1037,453,20
1037,453,5675
595,656,793
1038,657,5343
1038,657,572
1039,286,4939
1040,57,2085
1040,57,2521
1040,57,4813
146,56,2443
146,56,5586
146,56,4313
146,56,2612
146,56,5284
146,56,5661
356,456,1429
1041,56,2443
1041,56,5586
1041,56,4313
1041,56,2612
1041,56,5284
1041,56,5661
1042,575,4802
1043,290,2356
330,55,4977
1045,659,3123
225,171,2509
225,171,5061
225,171,1753
773,8,5185
773,8,5148
773,8,847
173,131,4699
173,131,5224
173,131,1353
1048,284,4155
1050,391,5062
1050,391,5010
1050,391,5419
1050,391,1503
1050,391,1491
111,662,3383
178,241,805
178,241,3924
178,241,3618
178,241,4752
178,241,2289
178,241,4226
178,241,4326
178,241,4841
178,241,5404
178,241,5527
226,8,5185
226,8,5148
226,8,847
1052,46,5486
1055,581,5453
1055,581,5346
950,329,159
950,329,4837
173,666,5099
1060,57,2085
1060,57,2521
1060,57,4813
913,53,3928
913,53,5211
52,17,765
52,17,4229
52,17,5290
52,17,1708
52,17,5087
52,17,3136
52,17,5355
428,671,99
440,328,4784
1065,74,3705
754,17,765
754,17,4229
754,17,5290
754,17,1708
754,17,5087
754,17,3136
754,17,5355
1067,57,2085
1067,57,2521
1067,57,4813
532,21,3070
300,17,765
300,17,4229
300,17,5290
300,17,1708
300,17,5087
300,17,3136
300,17,5355
1069,673,3867
1071,172,5430
1072,124,4630
1072,124,4678
741,286,4939
1073,326,5344
1074,172,5430
246,8,5185
246,8,5148
246,8,847
559,366,1853
559,366,2477
1064,497,913
1064,497,5348
1064,497,4159
1064,497,769
1077,48,2661
1077,48,4640
1077,48,4966
681,56,2443
681,56,5586
681,56,4313
681,56,2612
681,56,5284
681,56,5661
425,46,5486
1083,26,2638
1083,26,3272
1083,26,5259
1084,434,4016
1084,434,4308
110,679,1283
110,679,2204
110,679,5015
110,679,852
110,679,2654
110,679,5619
110,679,2161
110,679,843
110,679,1424
110,679,4631
110,679,224
1087,97,838
1087,97,1768
1087,97,943
1087,97,630
1089,391,5062
1089,391,5010
1089,391,5419
1089,391,1503
1089,391,1491
547,67,1301
950,77,5628
950,77,5484
193,680,2689
801,21,3070
1092,484,4760
1092,484,5598
1093,682,5058
1096,77,5628
1096,77,5484
